ena_run_accession,lineage_count,lineage_1,lineage_2,lineage_3,lineage_4,mixture_type
ERR4800035,1,lineage3,,,,single
ERR4798238,2,lineage3,lineage4.3.3,,,major
ERR4813926,1,lineage4.1.2.1,,,,single
ERR13261956,1,lineage4.3.3,,,,single
ERR4812771,1,lineage4.3.3,,,,single
ERR4829071,1,lineage4.6.2.2,,,,single
ERR13266817,1,lineage3.1.1,,,,single
ERR13267139,1,lineage3,,,,single
ERR4830092,2,lineage2.2.10,lineage4.3.3,,,major
ERR4831545,1,lineage2.2.1,,,,single
ERR2510430,1,lineage3,,,,single
ERR13284941,2,lineage2.2.10,lineage4.3.3,,,major
ERR4799983,1,lineage3.1.2,,,,single
ERR8975589,2,lineage2.2,lineage4.1.1.1,,,major
ERR2513498,1,lineage4.1.1.3,,,,single
ERR13289298,1,lineage4.10,,,,single
ERR13291000,1,lineage4.10,,,,single
ERR13285106,1,lineage4.3.3,,,,single
ERR4813789,2,lineage4.1.2.1,lineage4.3,,,minor
ERR13284740,1,lineage4.1.2.1,,,,single
ERR4808868,2,lineage2.2.1,lineage2.2.6,,,minor
ERR4814774,1,lineage4.3.4.2,,,,single
ERR4800367,2,lineage2.2,lineage4.10,,,major
ERR9119525,1,lineage4.6.2.2,,,,single
ERR4800039,1,lineage1.1.2,,,,single
ERR13288755,1,lineage4.3.4.1,,,,single
ERR4796787,2,lineage1.2.2,lineage4.4.1.1,,,major
ERR4797196,2,lineage1.2.2,lineage4.3.3,,,major
ERR13286073,2,lineage2.2,lineage4.3.2.1,,,major
ERR13285126,1,lineage4.10,,,,single
ERR13290888,2,lineage2.2.2,lineage2.2.7,,,minor
ERR8976043,1,lineage2.2,,,,single
ERR4797114,2,lineage3,lineage4.3.3,,,major
ERR4798998,2,lineage2.2.7,lineage3,,,major
ERR4797417,2,lineage2.2.6,lineage4.1.1.1,,,major
ERR4798648,3,lineage1,lineage2.2.7,lineage3.1.2,,complex
ERR13267119,1,lineage2.2.7,,,,single
ERR4800557,1,lineage4.1.2,,,,single
ERR4827760,2,lineage2.2.10,lineage2.2.9,,,minor
ERR4797787,2,lineage2.2.3,lineage4.3.3,,,major
ERR2515255,1,lineage2.2.7,,,,single
ERR2515347,1,lineage4.10,,,,single
ERR2510295,1,lineage3,,,,single
ERR4813157,2,lineage2.2.5,lineage2.2.7,,,minor
ERR13284872,2,lineage2.2.10,lineage4.2.1,,,major
ERR13285737,1,lineage2.2.10,,,,single
ERR13284736,2,lineage4.1.2.1,lineage4.10,,,minor
ERR2516785,1,lineage2.2,,,,single
ERR4800096,1,lineage3,,,,single
ERR4813614,1,lineage4.3.2,,,,single
ERR13262048,1,lineage2.2.3,,,,single
ERR13261234,1,lineage3,,,,single
ERR13267499,2,lineage2.2.9,lineage4.5,,,major
ERR4831987,2,lineage2.2.3,lineage2.2.4,,,minor
ERR4798868,1,lineage2.2,,,,single
ERR4822581,1,lineage4.2.1,,,,single
ERR4799392,1,lineage3,,,,single
ERR4831483,1,lineage3,,,,single
ERR13288774,1,lineage4.4.1.1,,,,single
ERR4831745,1,lineage2.2.6,,,,single
ERR13260690,2,lineage4.3.2,lineage4.3.3,,,minor
ERR13265216,1,lineage2.2,,,,single
ERR4828030,1,lineage2.2.10,,,,single
ERR13289061,1,lineage2.2,,,,single
ERR13266590,1,lineage2.2.7,,,,single
ERR4813675,2,lineage2.2,lineage4.3.3,,,major
ERR13266441,2,lineage2.2.7,lineage4.1.1.3,,,major
ERR4827886,2,lineage2.2.10,lineage2.2.9,,,minor
ERR4820586,1,lineage3,,,,single
ERR13267092,1,lineage1.1.2,,,,single
ERR13267138,2,lineage2.2.7,lineage3,,,major
ERR4797174,2,lineage1.2.2,lineage2.2,,,major
ERR4797089,2,lineage1.1.3,lineage4.3.3,,,major
ERR4799994,2,lineage3.1.2,lineage4.3.3,,,major
ERR4813613,2,lineage2.2,lineage4.3.3,,,major
ERR13267133,1,lineage3,,,,single
ERR13284818,1,lineage2.2.4,,,,single
ERR13259958,2,lineage2.2.9,lineage4.10,,,major
ERR4813384,2,lineage4.1.1,lineage4.3.3,,,minor
ERR4831867,1,lineage2.2.6,,,,single
ERR13266466,1,lineage4.10,,,,single
ERR4828083,1,lineage2.2.9,,,,single
ERR9992650,1,lineage2.2.7,,,,single
ERR4798926,2,lineage1.1.2,lineage4.1.2.1,,,major
ERR4827858,1,lineage4.3.3,,,,single
ERR4827622,1,lineage4.10,,,,single
ERR4812079,2,lineage2.2,lineage4.3,,,major
ERR13284843,1,lineage4.10,,,,single
ERR4799478,1,lineage2.2.7,,,,single
ERR13273255,1,lineage4.3.3,,,,single
ERR13260896,1,lineage2.2.4,,,,single
ERR4830581,1,lineage2.2.10,,,,single
ERR4813737,1,lineage4.3.2,,,,single
ERR4798654,1,lineage3,,,,single
ERR13267017,1,lineage2.2.7,,,,single
ERR13262080,2,lineage1.2.2,lineage2.2.7,,,major
ERR13267451,1,lineage4.1.1,,,,single
ERR13261585,1,lineage4.10,,,,single
ERR13273279,2,lineage2.2.10,lineage4.2.1,,,major
ERR4822586,2,lineage2.2.10,lineage4.10,,,major
ERR4813371,2,lineage2.2,lineage4.3.2,,,major
ERR13265968,1,lineage4.3.3,,,,single
ERR13260286,1,lineage2.2,,,,single
ERR13261496,1,lineage1.1.2,,,,single
ERR8975664,1,lineage4.3.2.1,,,,single
ERR13266892,1,lineage3.1.2,,,,single
ERR4813274,1,lineage4.3.3,,,,single
ERR13260442,1,lineage2.2.6,,,,single
ERR13265791,2,lineage2.2,lineage4.10,,,major
ERR4813599,1,lineage4.3.4.2,,,,single
ERR13286078,1,lineage2.2,,,,single
ERR13266555,1,lineage2.2.7,,,,single
ERR4813833,1,lineage4.3.4.1,,,,single
ERR13290801,1,lineage2.2.7,,,,single
ERR4829975,1,lineage4.5,,,,single
ERR4831780,1,lineage2.2,,,,single
ERR4800527,1,lineage2.2.7,,,,single
ERR4816559,1,lineage4.4.1.1,,,,single
ERR4819356,2,lineage4.1.2.1,lineage4.3.3,,,minor
ERR4827766,1,lineage4.10,,,,single
ERR4796743,2,lineage1,lineage2.2.7,,,major
